Name,Link,Protocols,TVL
Ethereum,/chain/Ethereum,1136,"$56,693b"
Tron,/chain/Tron,34,"$8,052b"
Solana,/chain/Solana,151,"$5,026b"
BSC,/chain/BSC,779,"$4,738b"
Arbitrum,/chain/Arbitrum,672,"$3,089b"
Base,/chain/Base,323,"$1,674b"
Blast,/chain/Blast,135,"$1,136b"
Avalanche,/chain/Avalanche,394,"$904,35m"
Polygon,/chain/Polygon,564,"$890,44m"
TON,/chain/TON,19,"$750,42m"
Scroll,/chain/Scroll,87,"$740,92m"
Optimism,/chain/Optimism,251,"$688,21m"
Bitcoin,/chain/Bitcoin,24,"$680,88m"
Linea,/chain/Linea,103,"$668,16m"
Hyperliquid,/chain/Hyperliquid,2,"$635,95m"
Mantle,/chain/Mantle,93,"$574,89m"
zkLink Nova,/chain/zkLink%20Nova,18,"$508,12m"
Mode,/chain/Mode,54,"$470,17m"
Cronos,/chain/Cronos,114,"$435,12m"
Sui,/chain/Sui,37,"$434,28m"
Aptos,/chain/Aptos,44,"$397,5m"
Bitlayer,/chain/Bitlayer,16,"$389,62m"
PulseChain,/chain/PulseChain,44,"$317,58m"
Thorchain,/chain/Thorchain,3,"$313,42m"
Starknet,/chain/Starknet,27,"$277,66m"
Gnosis,/chain/Gnosis,66,"$271,05m"
Near,/chain/Near,24,"$241,04m"
Cardano,/chain/Cardano,38,"$219,8m"
Merlin,/chain/Merlin,19,"$202,11m"
Rootstock,/chain/Rootstock,19,"$173,3m"
CORE,/chain/CORE,42,"$168,34m"
Kava,/chain/Kava,140,"$156,96m"
dYdX,/chain/dYdX,2,"$156,36m"
Ronin,/chain/Ronin,4,"$151,71m"
Mixin,/chain/Mixin,10,"$123,87m"
EOS,/chain/EOS,21,"$121,14m"
MultiversX,/chain/MultiversX,22,"$103,74m"
Osmosis,/chain/Osmosis,17,"$103,35m"
Fusion,/chain/Fusion,3,"$102,9m"
BSquared,/chain/BSquared,10,"$94,2m"
zkSync Era,/chain/zkSync%20Era,117,"$93,46m"
Celo,/chain/Celo,53,"$91,49m"
Stacks,/chain/Stacks,12,"$88,24m"
Sei,/chain/Sei,22,"$81,22m"
Fantom,/chain/Fantom,330,"$79,1m"
Algorand,/chain/Algorand,33,"$71,13m"
ICP,/chain/ICP,10,"$69,59m"
BounceBit,/chain/BounceBit,6,"$65,37m"
Filecoin,/chain/Filecoin,21,"$60,83m"
Hedera,/chain/Hedera,9,"$58,14m"
K2,/chain/K2,2,"$56,56m"
Metis,/chain/Metis,59,$55m
Tezos,/chain/Tezos,20,"$52,6m"
Manta,/chain/Manta,59,"$50,49m"
Hydration,/chain/Hydration,1,"$49,93m"
BOB,/chain/BOB,10,"$46,42m"
DefiChain,/chain/DefiChain,3,"$39,39m"
Moonbeam,/chain/Moonbeam,61,"$36,59m"
Fraxtal,/chain/Fraxtal,11,"$35,6m"
Klaytn,/chain/Klaytn,54,"$34,84m"
Kujira,/chain/Kujira,15,"$32,99m"
Injective,/chain/Injective,21,"$32,48m"
Radix,/chain/Radix,9,"$31,01m"
Telos,/chain/Telos,39,"$30,8m"
NEO,/chain/NEO,6,"$28,54m"
opBNB,/chain/opBNB,38,"$28,19m"
Astar,/chain/Astar,42,"$25,52m"
Flow,/chain/Flow,6,"$23,37m"
Mayachain,/chain/Mayachain,1,"$23,14m"
Bifrost Network,/chain/Bifrost%20Network,4,"$22,75m"
Canto,/chain/Canto,25,"$21,68m"
MAP Protocol,/chain/MAP%20Protocol,9,"$20,74m"
IoTeX,/chain/IoTeX,24,"$19,37m"
Aurora,/chain/Aurora,60,"$18,14m"
Zkfair,/chain/Zkfair,12,"$18,11m"
Neutron,/chain/Neutron,6,"$16,63m"
Bitcoincash,/chain/Bitcoincash,3,"$16,32m"
Immutable zkEVM,/chain/Immutable%20zkEVM,3,"$15,75m"
Taiko,/chain/Taiko,19,"$15,07m"
Secret,/chain/Secret,9,"$13,9m"
Conflux,/chain/Conflux,16,"$13,9m"
Polygon zkEVM,/chain/Polygon%20zkEVM,67,"$12,89m"
WEMIX3.0,/chain/WEMIX3.0,12,"$11,9m"
Waves,/chain/Waves,9,"$11,38m"
Icon,/chain/Icon,6,"$11,1m"
Stellar,/chain/Stellar,7,"$11,07m"
Venom,/chain/Venom,3,"$10,81m"
FSC,/chain/FSC,1,"$10,71m"
Chiliz,/chain/Chiliz,5,"$10,01m"
X Layer,/chain/X%20Layer,24,"$9,93m"
Bifrost,/chain/Bifrost,3,"$9,11m"
EOS EVM,/chain/EOS%20EVM,8,"$9,08m"
Alephium,/chain/Alephium,3,"$9,07m"
XDC,/chain/XDC,11,"$8,66m"
Flare,/chain/Flare,12,"$8,2m"
Ontology,/chain/Ontology,3,"$8,08m"
Proton,/chain/Proton,3,"$7,89m"
Oraichain,/chain/Oraichain,3,"$7,46m"
Onus,/chain/Onus,5,"$7,12m"
Parallel,/chain/Parallel,5,"$6,47m"
Carbon,/chain/Carbon,4,"$6,06m"
Moonriver,/chain/Moonriver,57,"$5,72m"
smartBCH,/chain/smartBCH,23,"$5,45m"
DFS Network,/chain/DFS%20Network,1,"$5,09m"
UX,/chain/UX,3,"$5,04m"
Vite,/chain/Vite,4,"$4,95m"
Astar zkEVM,/chain/Astar%20zkEVM,11,"$4,81m"
Ultron,/chain/Ultron,3,"$4,49m"
GodwokenV1,/chain/GodwokenV1,7,"$4,18m"
re.al,/chain/re.al,7,"$3,98m"
Interlay,/chain/Interlay,5,"$3,86m"
Doge,/chain/Doge,4,"$3,84m"
Vision,/chain/Vision,2,"$3,82m"
Ergo,/chain/Ergo,9,"$3,8m"
Terra2,/chain/Terra2,14,"$3,78m"
Wanchain,/chain/Wanchain,9,"$3,76m"
Nuls,/chain/Nuls,4,"$3,63m"
Boba,/chain/Boba,27,"$3,6m"
Litecoin,/chain/Litecoin,4,"$3,56m"
DFK,/chain/DFK,2,"$3,53m"
Persistence,/chain/Persistence,3,"$3,47m"
Meter,/chain/Meter,13,"$3,44m"
Beam,/chain/Beam,2,"$3,39m"
Archway,/chain/Archway,5,"$3,32m"
Elastos,/chain/Elastos,3,"$3,32m"
Acala,/chain/Acala,8,"$3,08m"
Horizen EON,/chain/Horizen%20EON,7,"$3,04m"
Dogechain,/chain/Dogechain,45,"$2,99m"
Oasis Sapphire,/chain/Oasis%20Sapphire,3,"$2,92m"
Kroma,/chain/Kroma,6,"$2,81m"
FunctionX,/chain/FunctionX,3,"$2,78m"
Everscale,/chain/Everscale,2,"$2,72m"
aelf,/chain/aelf,1,"$2,46m"
Harmony,/chain/Harmony,60,"$2,28m"
Terra Classic,/chain/Terra%20Classic,30,"$2,28m"
OKTChain,/chain/OKTChain,37,"$2,13m"
DeFiVerse,/chain/DeFiVerse,2,"$2,03m"
Bahamut,/chain/Bahamut,4,"$2,02m"
Theta,/chain/Theta,5,"$1,99m"
ShimmerEVM,/chain/ShimmerEVM,7,"$1,86m"
ZetaChain,/chain/ZetaChain,19,"$1,78m"
Hydra,/chain/Hydra,3,"$1,78m"
XPLA,/chain/XPLA,2,"$1,69m"
Fuse,/chain/Fuse,24,"$1,68m"
KCC,/chain/KCC,28,"$1,65m"
Songbird,/chain/Songbird,6,"$1,61m"
Zilliqa,/chain/Zilliqa,7,"$1,61m"
Arbitrum Nova,/chain/Arbitrum%20Nova,10,"$1,54m"
Shibarium,/chain/Shibarium,14,"$1,36m"
SXnetwork,/chain/SXnetwork,1,"$1,35m"
Nolus,/chain/Nolus,1,"$1,34m"
Equilibrium,/chain/Equilibrium,1,"$1,28m"
Oasys,/chain/Oasys,3,"$1,27m"
IOTA EVM,/chain/IOTA%20EVM,3,"$1,14m"
Neon,/chain/Neon,11,"$1,14m"
Velas,/chain/Velas,15,"$1,13m"
Naka,/chain/Naka,1,"$1,01m"
HAQQ,/chain/HAQQ,3,$1m
Evmos,/chain/Evmos,23,$954 932
Oasis Emerald,/chain/Oasis%20Emerald,19,$927 085
Xai,/chain/Xai,3,$925 766
Milkomeda C1,/chain/Milkomeda%20C1,21,$895 079
Obyte,/chain/Obyte,7,$893 375
RENEC,/chain/RENEC,1,$884 443
CosmosHub,/chain/CosmosHub,4,$859 499
Elysium,/chain/Elysium,1,$788 109
Sanko,/chain/Sanko,3,$772 886
BEVM,/chain/BEVM,7,$754 951
ThunderCore,/chain/ThunderCore,10,$740 158
Wax,/chain/Wax,3,$733 654
SatoshiVM,/chain/SatoshiVM,1,$727 434
Energi,/chain/Energi,1,$708 084
LightLink,/chain/LightLink,3,$703 193
Zora,/chain/Zora,4,$703 075
Concordium,/chain/Concordium,1,$651 883
Saakuru,/chain/Saakuru,1,$630 804
Bostrom,/chain/Bostrom,1,$626 108
Starcoin,/chain/Starcoin,3,$611 535
Q Protocol,/chain/Q%20Protocol,4,$596 846
SKALE Europa,/chain/SKALE%20Europa,6,$593 264
VeChain,/chain/VeChain,2,$551 394
NOS,/chain/NOS,1,$550 389
Rangers,/chain/Rangers,2,$511 635
Degen,/chain/Degen,9,$461 350
Rollux,/chain/Rollux,2,$455 347
Kadena,/chain/Kadena,5,$451 295
Juno,/chain/Juno,10,$418 746
EthereumClassic,/chain/EthereumClassic,10,$413 650
inEVM,/chain/inEVM,7,$409 686
CSC,/chain/CSC,5,$407 360
Boba_Bnb,/chain/Boba_Bnb,2,$407 161
XRPL,/chain/XRPL,4,$407 027
Migaloo,/chain/Migaloo,3,$384 844
Crab,/chain/Crab,1,$362 500
Bittorrent,/chain/Bittorrent,15,$353 962
Chihuahua,/chain/Chihuahua,3,$353 348
Heiko,/chain/Heiko,5,$338 697
Kintsugi,/chain/Kintsugi,1,$334 685
DeFiChain EVM,/chain/DeFiChain%20EVM,3,$331 211
Sora,/chain/Sora,2,$329 309
ENULS,/chain/ENULS,3,$290 199
Dash,/chain/Dash,1,$273 322
Karura,/chain/Karura,5,$271 971
Joltify,/chain/Joltify,2,$257 872
